The following table was created as response to the SQL query
SELECT sbs_sbsname "SBS name", sbs_sbsnumber "SBS number", m_methodname "general method", dia_name "diaspore type", sm_singlevalue "single value [mg]", sm_samples "sample size", sm_valid "valid", sm_median "median", ref_refname "reference", sm_mean "mean SM [mg]", sm_maximum "maximum SM [mg]", sm_minimum "minimum SM [mg]", sm_replicates "number of replicates", sm_gencomment "general comment", dmlv_name "Drying method", or_origrefname "original reference", dia_code "diaspore type code" FROM (SELECT case when sm_median is not null then sm_median when sm_mean is not null then sm_mean when sm_minimum is not null and sm_maximum is not null then (sm_minimum + sm_maximum) / 2 when sm_minimum is not null then sm_minimum when sm_maximum is not null then sm_maximum else null end AS sm_singlevalue, sbs_sbsnumber, sbs_sbsname, m_methodname, dia_name, sm_median, sm_mean, sm_minimum, sm_maximum, sm_samples, sm_valid, ref_refname, sm_replicates, sm_gencomment, dmlv_name, or_origrefname, dia_code, sm_sbsnumber FROM (SELECT sbs.sbs_sbsnumber, sbs.sbs_sbsname, sm_m.m_methodname, sm_m.dia_name, sm_m.sm_median, sm_m.sm_mean, sm_m.sm_minimum, sm_m.sm_maximum, sm_m.sm_samples, sm_m.sm_valid, sm_m.ref_refname, sm_m.sm_replicates, sm_m.sm_gencomment, sm_m.dmlv_name, sm_m.or_origrefname, sm_m.dia_code, sm_m.sm_sbsnumber FROM (SELECT speciesno AS sbs_sbsnumber, fullname AS sbs_sbsname FROM (SELECT fullname, speciesno, familyname, isinledalist from (select fullname, speciesno, family as familyid, isinledalist from taxon where specieslist = 60028) natural join taxonomicfamily)) sbs JOIN (SELECT sm_dialv.sm_sbsnumber, m.m_methodname, sm_dialv.dia_name, sm_dialv.sm_median, sm_dialv.sm_mean, sm_dialv.sm_minimum, sm_dialv.sm_maximum, sm_dialv.sm_samples, sm_dialv.sm_valid, sm_dialv.ref_refname, sm_dialv.sm_replicates, sm_dialv.sm_gencomment, sm_dialv.dmlv_name, sm_dialv.or_origrefname, sm_dialv.dia_code FROM (SELECT r_sm.sm_sbsnumber, r_sm.sm_methodid, dialv.dia_name, r_sm.sm_median, r_sm.sm_mean, r_sm.sm_minimum, r_sm.sm_maximum, r_sm.sm_samples, r_sm.sm_valid, r_sm.ref_refname, r_sm.sm_replicates, r_sm.sm_gencomment, r_sm.dmlv_name, r_sm.or_origrefname, dialv.dia_code FROM (SELECT sm_dmlv.sm_sbsnumber, sm_dmlv.sm_methodid, sm_dmlv.sm_diasporemorphid, sm_dmlv.sm_median, sm_dmlv.sm_mean, sm_dmlv.sm_minimum, sm_dmlv.sm_maximum, sm_dmlv.sm_samples, sm_dmlv.sm_valid, r.ref_refname, sm_dmlv.sm_replicates, sm_dmlv.sm_gencomment, sm_dmlv.dmlv_name, sm_dmlv.or_origrefname FROM (SELECT referenceid AS ref_referenceid, refname AS ref_refname FROM (select referenceid, refname, reftypeid from reference)) r LEFT JOIN (SELECT sm_orf.sm_sbsnumber, sm_orf.sm_methodid, sm_orf.sm_diasporemorphid, sm_orf.sm_median, sm_orf.sm_mean, sm_orf.sm_minimum, sm_orf.sm_maximum, sm_orf.sm_samples, sm_orf.sm_valid, sm_orf.sm_referenceid, sm_orf.sm_replicates, sm_orf.sm_gencomment, dmlv.dmlv_name, sm_orf.or_origrefname FROM (SELECT sm.sm_sbsnumber, sm.sm_methodid, sm.sm_diasporemorphid, sm.sm_median, sm.sm_mean, sm.sm_minimum, sm.sm_maximum, sm.sm_samples, sm.sm_valid, sm.sm_referenceid, sm.sm_replicates, sm.sm_gencomment, sm.sm_dryingmethodid, orf.or_origrefname FROM (SELECT sbsnumber AS sm_sbsnumber, methodid AS sm_methodid, germinuleordispersuleid AS sm_diasporemorphid, median AS sm_median, mean AS sm_mean, minimum AS sm_minimum, maximum AS sm_maximum, n AS sm_samples, valid AS sm_valid, referenceid AS sm_referenceid, seednumberperindividual AS sm_replicates, p_comment AS sm_gencomment, dryingmethodid AS sm_dryingmethodid, origreferenceid AS sm_origreferenceid FROM (SELECT seedweightid, sbsnumber, taxonid, georefid, habitattypeid, referenceid, origreferenceid, batchid, n, seednumberperindividual, germinuleordispersuleid, mean, minimum, maximum, median, methodid, dryingmethodid, balanceerror, stddeviation, stderror, collectiondate, p_comment, created_when, updated_when, valid, validsince, validuntil, ledaid FROM seedweight NATURAL JOIN taxontosbsassignment WHERE valid IN (-2, 1, -1, 0, 2, -8, -4, -3, 2, -8))) sm FULL JOIN (SELECT origreferenceid AS or_origrefid, origrefname AS or_origrefname FROM (select referenceid as origreferenceid, refname as origrefname, reftypeid as origreftypeid from reference)) orf ON sm.sm_origreferenceid = orf.or_origrefid) sm_orf FULL JOIN (SELECT dryingmethodid AS dmlv_id, dryingmethodname AS dmlv_name FROM (select dryingmethodid, dryingmethodname from dryingmethod_lv)) dmlv ON sm_orf.sm_dryingmethodid = dmlv.dmlv_id) sm_dmlv ON r.ref_referenceid = sm_dmlv.sm_referenceid) r_sm LEFT JOIN (SELECT diasporemorphologyid AS dia_id, diasporemorphologyname AS dia_name, diasporemorphologycode AS dia_code FROM (select diasporemorphologyid, diasporemorphologycode, diasporemorphologyname from diasporemorphology_lv)) dialv ON r_sm.sm_diasporemorphid = dialv.dia_id) sm_dialv LEFT JOIN (SELECT methodid AS m_methodid, methodname AS m_methodname FROM (select * from method_lv)) m ON sm_dialv.sm_methodid = m.m_methodid) sm_m ON sbs.sbs_sbsnumber = sm_m.sm_sbsnumber)) ORDER BY sbs_sbsname
on Fri Mar 14 16:35:53 CET 2008 .

SBS name;SBS number;general method;diaspore type;single value [mg];sample size;valid;median;reference;mean SM [mg];maximum SM [mg];minimum SM [mg];number of replicates;general comment;Drying method;original reference;diaspore type code
Herniaria glabra;16521;actual measurement;one-seeded generative dispersule;.066;;-4;;BIOLFLOR database;.066;.072;.06;;;Air dried weight;;2a
Herniaria glabra;16521;other;one-seeded generative dispersule;.0568;1;1;;Royal Botanic Gardens, Kew, Richmond, Surrey, TW9 3AB, UK (http://www.kew.org);.0568;;;1000;1000 seed weight, unknown number of individuals;Air dried weight;;2a
Herniaria glabra;16521;other;one-seeded generative dispersule;.0912;1;1;;Royal Botanic Gardens, Kew, Richmond, Surrey, TW9 3AB, UK (http://www.kew.org);.0912;;;1000;1000 seed weight, unknown number of individuals;Air dried weight;;2a
Herniaria glabra;16521;other;one-seeded generative dispersule;.10032;1;1;;Royal Botanic Gardens, Kew, Richmond, Surrey, TW9 3AB, UK (http://www.kew.org);.10032;;;1000;1000 seed weight, unknown number of individuals;Air dried weight;;2a
Herniaria glabra;16521;other;one-seeded generative dispersule;.0744;1;1;;Royal Botanic Gardens, Kew, Richmond, Surrey, TW9 3AB, UK (http://www.kew.org);.0744;;;1000;1000 seed weight, unknown number of individuals;Air dried weight;;2a
Herniaria glabra;16521;other;one-seeded generative dispersule;.0792;1;1;;Royal Botanic Gardens, Kew, Richmond, Surrey, TW9 3AB, UK (http://www.kew.org);.0792;;;1000;1000 seed weight, unknown number of individuals;Air dried weight;;2a
Herniaria hirsuta;17001;actual measurement;germinule;.04767;1;1;;Götzenberger, Lars (lars.goetzenberger@ufz.de);.04767;;;1;1996-1997, n an replicates unknown;Air dried weight;;3
Herniaria hirsuta;17001;actual measurement;germinule;.048;30;1;;Götzenberger, Lars (lars.goetzenberger@ufz.de);.048;;;1;Seeds weighed individually when possible or in small groups (n max = 10). For majority 30 weights per species.;Air dried weight;;3
Herniaria hirsuta;17001;actual measurement;germinule;.05;1;1;;Götzenberger, Lars (lars.goetzenberger@ufz.de);.05;;;30;collected between 1996-1999;Air dried weight;;3
Herniaria hirsuta;17001;actual measurement;germinule;.079;;-4;;BIOLFLOR database;.079;.082;.077;;;Air dried weight;;3
Herniaria incana;15807;actual measurement;unknown;.14;0;1;;Pluess, Andrea(2005): Seed weight increases with altitude in the Swiss Alps between related species but not among populations of individual species [144];.14;;;0;;Air dried weight;Pluess, Andrea(2005): Seed weight increases with altitude in the Swiss Alps between related species but not among populations of individual species [144];4
Hesperis matronalis;14004;actual measurement;generative dispersule;1.7336;5;1;;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;1.7336;1.77;1.679333333;150;;Air dried weight;;2
Hesperis matronalis;14004;actual measurement;germinule;2.6;;-4;;BIOLFLOR database;2.6;3;2.195;;;Air dried weight;;3
Hesperis matronalis;14004;actual measurement;germinule;2.752;1;1;;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;2.752;;;50;;Air dried weight;;3
Hesperis matronalis;14004;actual measurement;germinule;1.932;1;1;;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;1.932;;;50;;Air dried weight;;3
Hesperis matronalis;14004;actual measurement;one-seeded generative dispersule;2.6;;-4;;BIOLFLOR database;2.6;3;2.195;;;Air dried weight;;2a
Hesperis matronalis;14004;actual measurement;one-seeded generative dispersule;2.752;1;1;;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;2.752;;;50;;Air dried weight;;2a
Hesperis matronalis;14004;actual measurement;one-seeded generative dispersule;1.932;1;1;;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;1.932;;;50;;Air dried weight;;2a
Hibiscus trionum;25723;actual measurement;one-seeded generative dispersule;5.724;;-4;;BIOLFLOR database;5.724;;;;;Air dried weight;;2a
Hibiscus trionum;25723;actual measurement;germinule;5.724;;-4;;BIOLFLOR database;5.724;;;;;Air dried weight;;3
Hieracium acuminatum;7467;actual measurement;germinule;.437;;-4;;BIOLFLOR database;.437;.489;.384;;;Air dried weight;;3
Hieracium acuminatum;7467;other;germinule;.4056;1;1;;Royal Botanic Gardens, Kew, Richmond, Surrey, TW9 3AB, UK (http://www.kew.org);.4056;;;1000;1000 seed weight, unknown number of individuals;Air dried weight;;3
Hieracium alpinum;30615;unknown;generative dispersule;1.014;0;1;;Bruun, Hans Henrik(2005): Distinct patterns in alpine vegetation around dens of the Arctic fox [28];1.014;;;0;;Air dried weight;Bruun, Hans Henrik(2005): Distinct patterns in alpine vegetation around dens of the Arctic fox [28];2
Hieracium alpinum gr.;8507;actual measurement;germinule;.8237;1;1;;Götzenberger, Lars (lars.goetzenberger@ufz.de);.8237;;;100;;Air dried weight;;3
Hieracium amplexicaule;33881;actual measurement;germinule;.551;;-4;;BIOLFLOR database;.551;.593;.511;;;Air dried weight;;3
Hieracium amplexicaule;33881;actual measurement (following LEDA data standards);germinule;.7;1;-4;;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.7;;;10;used balance: Mettler H51, seed;Air dried weight;;3
Hieracium amplexicaule;33881;actual measurement (following LEDA data standards);germinule;.86;10;-2;.86;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.85;1;.7;;preaggregated value obtained from single record;Air dried weight;;3
Hieracium amplexicaule;33881;actual measurement (following LEDA data standards);germinule;.77;1;-4;;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.77;;;10;used balance: Mettler H51, seed;Air dried weight;;3
Hieracium amplexicaule;33881;actual measurement (following LEDA data standards);germinule;.87;1;-4;;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.87;;;10;used balance: Mettler H51, seed;Air dried weight;;3
Hieracium amplexicaule;33881;actual measurement (following LEDA data standards);germinule;.89;1;-4;;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.89;;;10;used balance: Mettler H51, seed;Air dried weight;;3
Hieracium amplexicaule;33881;actual measurement (following LEDA data standards);germinule;.98;1;-4;;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.98;;;10;used balance: Mettler H51, seed;Air dried weight;;3
Hieracium amplexicaule;33881;actual measurement (following LEDA data standards);germinule;.81;1;-4;;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.81;;;10;used balance: Mettler H51, seed;Air dried weight;;3
Hieracium amplexicaule;33881;actual measurement (following LEDA data standards);germinule;.86;1;-4;;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.86;;;10;used balance: Mettler H51, seed;Air dried weight;;3
Hieracium amplexicaule;33881;actual measurement (following LEDA data standards);germinule;1;1;-4;;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;1;;;10;used balance: Mettler H51, seed;Air dried weight;;3
Hieracium amplexicaule;33881;actual measurement (following LEDA data standards);one-seeded generative dispersule;.78;1;-2;.78;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.78;.78;.78;;preaggregated value obtained from single record;Air dried weight;;2a
Hieracium amplexicaule;33881;actual measurement (following LEDA data standards);one-seeded generative dispersule;.78;1;-4;;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.78;;;50;used balance: Mettler H51, seed with pappus;Air dried weight;;2a
Hieracium amplexicaule;33881;actual measurement (following LEDA data standards);germinule;.85;1;-4;;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.85;;;10;used balance: Mettler H51, seed;Air dried weight;;3
Hieracium amplexicaule;33881;actual measurement (following LEDA data standards);germinule;.79;1;-4;;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.79;;;10;used balance: Mettler H51, seed;Air dried weight;;3
Hieracium aurantiacum;7024;actual measurement (following LEDA data standards);germinule;.13;1;-4;;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.13;;;100;used balance: Mettler Toledo 4, seed without pappus;Air dried weight;;3
Hieracium aurantiacum;7024;actual measurement (following LEDA data standards);one-seeded generative dispersule;.16;1;-4;;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.16;;;20;used balance: Mettler H51, seed with pappus;Air dried weight;;2a
Hieracium aurantiacum;7024;actual measurement (following LEDA data standards);germinule;.13;1;-2;.13;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.13;.13;.13;;preaggregated value obtained from single record;Air dried weight;;3
Hieracium aurantiacum;7024;actual measurement (following LEDA data standards);one-seeded generative dispersule;.18;1;-4;;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.18;;;20;used balance: Mettler H51, seed with pappus;Air dried weight;;2a
Hieracium aurantiacum;7024;actual measurement (following LEDA data standards);one-seeded generative dispersule;.14;1;-4;;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.14;;;20;used balance: Mettler H51, seed with pappus;Air dried weight;;2a
Hieracium aurantiacum;7024;actual measurement (following LEDA data standards);one-seeded generative dispersule;.16;4;-2;.16;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.16;.18;.14;;preaggregated value obtained from single record;Air dried weight;;2a
Hieracium aurantiacum;7024;actual measurement (following LEDA data standards);one-seeded generative dispersule;.15;1;-4;;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.15;;;20;used balance: Mettler H51, seed with pappus;Air dried weight;;2a
Hieracium aurantiacum;7024;actual measurement;germinule;.152;;-4;;BIOLFLOR database;.152;.16;.137;;;Air dried weight;;3
Hieracium aurantiacum;7024;actual measurement;one-seeded generative dispersule;.1245;2;1;;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;.1245;.125;.124;100;;Air dried weight;;2a
Hieracium bifidum;14677;actual measurement;one-seeded generative dispersule;.5;;-4;;BIOLFLOR database;.5;;;;;Air dried weight;;2a
Hieracium bifidum;14677;actual measurement;germinule;.5;;-4;;BIOLFLOR database;.5;;;;;Air dried weight;;3
Hieracium bupleuroides;36033;actual measurement;germinule;.699;;-4;;BIOLFLOR database;.699;;;;;Air dried weight;;3
Hieracium caespitosum;8116;actual measurement;one-seeded generative dispersule;.1065;2;1;;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;.1065;.11;.103;1;;Air dried weight;;2a
Hieracium cymosum;6921;actual measurement;germinule;.115;;-4;;BIOLFLOR database;.115;.118;.112;;;Air dried weight;;3
Hieracium dentatum;22806;actual measurement;germinule;1.02;;-4;;BIOLFLOR database;1.02;;;;;Air dried weight;;3
Hieracium echioides;6543;actual measurement;germinule;.161;;-4;;BIOLFLOR database;.161;.167;.157;;;Air dried weight;;3
Hieracium flagellare;7042;actual measurement;one-seeded generative dispersule;.074;1;1;;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;.074;;;50;;Air dried weight;;2a
Hieracium flagellare;7042;actual measurement;one-seeded generative dispersule;.09;1;1;;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;.09;;;100;;Air dried weight;;2a
Hieracium flagellare;7042;actual measurement;one-seeded generative dispersule;.116;1;1;;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;.116;;;50;;Air dried weight;;2a
Hieracium franconicum;7806;actual measurement;germinule;.709;;-4;;BIOLFLOR database;.709;;;;;Air dried weight;;3
Hieracium glaucum;36455;actual measurement;germinule;.9;;-4;;BIOLFLOR database;.9;;;;;Air dried weight;;3
Hieracium glaucum;36455;actual measurement;one-seeded generative dispersule;.9;;-4;;BIOLFLOR database;.9;;;;;Air dried weight;;2a
Hieracium intybaceum;7054;actual measurement;germinule;.714;;-4;;BIOLFLOR database;.714;;;;;Air dried weight;;3
Hieracium lactucella;7271;actual measurement;germinule;.1;;-4;;BIOLFLOR database;.1;;;;;Air dried weight;;3
Hieracium lactucella;7271;actual measurement;one-seeded generative dispersule;.1;;-4;;BIOLFLOR database;.1;;;;;Air dried weight;;2a
Hieracium laevigatum;44220;actual measurement;one-seeded generative dispersule;.525;;-4;;BIOLFLOR database;.525;.565;.485;;;Air dried weight;;2a
Hieracium laevigatum;44220;actual measurement;germinule;.525;;-4;;BIOLFLOR database;.525;.565;.485;;;Air dried weight;;3
Hieracium laevigatum;44220;actual measurement (following LEDA data standards);germinule;.43;1;-4;;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.43;;;50;used balance: Mettler Toledo 4, seed without pappus;Air dried weight;;3
Hieracium laevigatum;44220;actual measurement (following LEDA data standards);one-seeded generative dispersule;.29;1;-2;.29;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.29;.29;.29;;preaggregated value obtained from single record;Air dried weight;;2a
Hieracium laevigatum;44220;actual measurement (following LEDA data standards);one-seeded generative dispersule;.29;1;-4;;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.29;;;10;used balance: Mettler H51, seed with pappus;Air dried weight;;2a
Hieracium laevigatum;44220;actual measurement (following LEDA data standards);germinule;.43;1;-2;.43;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.43;.43;.43;;preaggregated value obtained from single record;Air dried weight;;3
Hieracium laurinum;7752;actual measurement;germinule;.933;;-4;;BIOLFLOR database;.933;;;;;Air dried weight;;3
Hieracium maculatum;16770;actual measurement;generative dispersule;.584;5;1;;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;.584;.69;.5;1;;Air dried weight;;2
Hieracium maculatum;16770;other;germinule;.3872;1;1;;Royal Botanic Gardens, Kew, Richmond, Surrey, TW9 3AB, UK (http://www.kew.org);.3872;;;1000;1000 seed weight, unknown number of individuals;Air dried weight;;3
Hieracium murorum;14443;actual measurement;germinule;.4;;-4;;BIOLFLOR database;.4;;;;;Air dried weight;;3
Hieracium murorum;14443;actual measurement;one-seeded generative dispersule;.4;;-4;;BIOLFLOR database;.4;;;;;Air dried weight;;2a
Hieracium peleteranum s. tenuiscapum;7852;actual measurement;germinule;.198;;-4;;BIOLFLOR database;.198;.202;.196;;;Air dried weight;;3
Hieracium pilosella;6658;actual measurement;generative dispersule;1.45;1;1;;Götzenberger, Lars (lars.goetzenberger@ufz.de);1.45;;;1;n an replicates unknown;Air dried weight;;2
Hieracium pilosella;6658;actual measurement;germinule;.149;;-4;;BIOLFLOR database;.149;.185;.1;;;Air dried weight;;3
Hieracium pilosella;6658;actual measurement;germinule;.155;;-4;;BIOLFLOR database;.155;.23;.1;;;Air dried weight;;3
Hieracium pilosella;6658;actual measurement;germinule;.152;1;1;;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;.152;;;98;;Air dried weight;;3
Hieracium pilosella;6658;actual measurement;germinule;.144;1;1;;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;.144;;;50;;Air dried weight;;3
Hieracium pilosella;6658;actual measurement;germinule;.232;1;1;;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;.232;;;100;;Air dried weight;;3
Hieracium pilosella;6658;actual measurement;germinule;.27;1;1;;Götzenberger, Lars (lars.goetzenberger@ufz.de);.27;;;50;50-2000 air-dried matured seeds;Air dried weight;;3
Hieracium pilosella;6658;actual measurement;germinule;.105;7;1;;Götzenberger, Lars (lars.goetzenberger@ufz.de);.105;;;1;summers of 1995 and 1996;Unknown;;3
Hieracium pilosella;6658;actual measurement;one-seeded generative dispersule;.144;1;1;;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;.144;;;50;;Air dried weight;;2a
Hieracium pilosella;6658;actual measurement;one-seeded generative dispersule;.152;1;1;;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;.152;;;98;;Air dried weight;;2a
Hieracium pilosella;6658;actual measurement;one-seeded generative dispersule;.232;1;1;;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;.232;;;100;;Air dried weight;;2a
Hieracium pilosella;6658;actual measurement;one-seeded generative dispersule;.155;;-4;;BIOLFLOR database;.155;.23;.1;;;Air dried weight;;2a
Hieracium pilosella;6658;actual measurement;generative dispersule;.11;2;1;;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;.11;.123333333;.096666667;30;;Air dried weight;;2
Hieracium pilosella;6658;actual measurement (following LEDA data standards);one-seeded generative dispersule;.11;1;-4;;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.11;;;20;used balance: Mettler H51, seed with pappus;Air dried weight;;2a
Hieracium pilosella;6658;actual measurement (following LEDA data standards);one-seeded generative dispersule;.11;1;-2;.11;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.11;.11;.11;;preaggregated value obtained from single record;Air dried weight;;2a
Hieracium piloselloides;6837;actual measurement;generative dispersule;.72;5;1;;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;.72;.78;.52;1;;Air dried weight;;2
Hieracium piloselloides;6837;actual measurement;one-seeded generative dispersule;.124;;-4;;BIOLFLOR database;.124;;;;;Air dried weight;;2a
Hieracium piloselloides;6837;actual measurement;germinule;.124;;-4;;BIOLFLOR database;.124;;;;;Air dried weight;;3
Hieracium porrifolium;7322;actual measurement;germinule;.64;1;1;;Götzenberger, Lars (lars.goetzenberger@ufz.de);.64;;;50;50-2000 air-dried matured seeds;Air dried weight;;3
Hieracium sabaudum;44218;actual measurement;germinule;.555;;-4;;BIOLFLOR database;.555;.653;.504;;;Air dried weight;;3
Hieracium sabaudum;44218;other;germinule;.3852;1;1;;Royal Botanic Gardens, Kew, Richmond, Surrey, TW9 3AB, UK (http://www.kew.org);.3852;;;1000;1000 seed weight, unknown number of individuals;Air dried weight;;3
Hieracium schmidtii;19273;actual measurement;germinule;.633;;-4;;BIOLFLOR database;.633;.635;.63;;;Air dried weight;;3
Hieracium tridentatum;7223;actual measurement;generative dispersule;.333333333;2;1;;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;.333333333;.346666667;.32;1;;Air dried weight;;2
Hieracium umbellatum;7093;actual measurement;germinule;.378533333;5;1;;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;.378533333;.396666667;.356666667;150;;Air dried weight;;3
Hieracium umbellatum;7093;actual measurement (following LEDA data standards);germinule;.39;10;-2;.39;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.4;.49;.3;;preaggregated value obtained from single record;Air dried weight;;3
Hieracium umbellatum;7093;actual measurement (following LEDA data standards);germinule;.38;1;-2;.38;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.38;.38;.38;;preaggregated value obtained from single record;Air dried weight;;3
Hieracium umbellatum;7093;actual measurement (following LEDA data standards);germinule;.37;1;-4;;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.37;;;10;used balance: Mettler H51, seed with pappus;Air dried weight;;3
Hieracium umbellatum;7093;actual measurement (following LEDA data standards);germinule;.4;1;-4;;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.4;;;10;used balance: Mettler H51, seed with pappus;Air dried weight;;3
Hieracium umbellatum;7093;actual measurement (following LEDA data standards);germinule;.47;1;-4;;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.47;;;10;used balance: Mettler H51, seed with pappus;Air dried weight;;3
Hieracium umbellatum;7093;actual measurement (following LEDA data standards);germinule;.34;1;-4;;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.34;;;10;used balance: Mettler H51, seed with pappus;Air dried weight;;3
Hieracium umbellatum;7093;actual measurement (following LEDA data standards);germinule;.33;1;-4;;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.33;;;10;used balance: Mettler H51, seed with pappus;Air dried weight;;3
Hieracium umbellatum;7093;actual measurement (following LEDA data standards);germinule;.3;1;-4;;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.3;;;10;used balance: Mettler H51, seed with pappus;Air dried weight;;3
