The following table was created as response to the SQL query
SELECT sbs_sbsname "SBS name", m_methodname "general method", rh_singlevalue "single value [m]", rh_n "sample size", rh_valid "record valid", ref_refname "reference", rh_maximum "maximum RH [m]", rh_mean "mean RH [m]", rh_minimum "minimum RH [m]", rh_median "median RH [m]", rh_replicates "number of replicates", rh_comment "general comment", or_origrefname "original reference" FROM (SELECT case when rh_median is not null then rh_median when rh_mean is not null then rh_mean when rh_minimum is not null and rh_maximum is not null then (rh_minimum + rh_maximum) / 2 when rh_minimum is not null then rh_minimum when rh_maximum is not null then rh_maximum else null end AS rh_singlevalue, sbs_sbsname, m_methodname, rh_median, rh_mean, rh_minimum, rh_maximum, rh_n, rh_valid, ref_refname, rh_replicates, rh_comment, or_origrefname, rh_sbsnumber FROM (SELECT sbs.sbs_sbsname, rh_m.m_methodname, rh_m.rh_median, rh_m.rh_mean, rh_m.rh_minimum, rh_m.rh_maximum, rh_m.rh_n, rh_m.rh_valid, rh_m.ref_refname, rh_m.rh_replicates, rh_m.rh_comment, rh_m.or_origrefname, rh_m.rh_sbsnumber FROM (SELECT speciesno AS sbs_sbsnumber, fullname AS sbs_sbsname FROM (SELECT fullname, speciesno, familyname, isinledalist from (select fullname, speciesno, family as familyid, isinledalist from taxon where specieslist = 60028) natural join taxonomicfamily)) sbs JOIN (SELECT r_rh.rh_sbsnumber, m.m_methodname, r_rh.rh_median, r_rh.rh_mean, r_rh.rh_minimum, r_rh.rh_maximum, r_rh.rh_n, r_rh.rh_valid, r_rh.ref_refname, r_rh.rh_replicates, r_rh.rh_comment, r_rh.or_origrefname FROM (SELECT rh_orf.rh_sbsnumber, rh_orf.rh_methodid, rh_orf.rh_median, rh_orf.rh_mean, rh_orf.rh_minimum, rh_orf.rh_maximum, rh_orf.rh_n, rh_orf.rh_valid, r.ref_refname, rh_orf.rh_replicates, rh_orf.rh_comment, rh_orf.or_origrefname FROM (SELECT referenceid AS ref_referenceid, refname AS ref_refname FROM (select referenceid, refname, reftypeid from reference)) r LEFT JOIN (SELECT rh.rh_sbsnumber, rh.rh_methodid, rh.rh_median, rh.rh_mean, rh.rh_minimum, rh.rh_maximum, rh.rh_n, rh.rh_valid, rh.rh_referenceid, rh.rh_replicates, rh.rh_comment, orf.or_origrefname FROM (SELECT sbsnumber AS rh_sbsnumber, methodid AS rh_methodid, median AS rh_median, mean AS rh_mean, minimum AS rh_minimum, maximum AS rh_maximum, n AS rh_n, valid AS rh_valid, referenceid AS rh_referenceid, replicates AS rh_replicates, p_comment AS rh_comment, origreferenceid AS rh_origreferenceid FROM (SELECT releasingheightid, sbsnumber, n, replicates, mean, minimum, maximum, median, stddeviation, stderror, collectiondate, p_comment, methodid, referenceid, supportstructuretypeid, origreferenceid, habitattypeid, georefid, valid, ledaid, batchid FROM releasingheight natural join taxontosbsassignment WHERE valid IN (-2, 1, 2, -8, 2, -8))) rh FULL JOIN (SELECT origreferenceid AS or_origrefid, origrefname AS or_origrefname FROM (select referenceid as origreferenceid, refname as origrefname, reftypeid as origreftypeid from reference)) orf ON rh.rh_origreferenceid = orf.or_origrefid) rh_orf ON r.ref_referenceid = rh_orf.rh_referenceid) r_rh LEFT JOIN (SELECT methodid AS m_methodid, methodname AS m_methodname FROM (select * from method_lv)) m ON r_rh.rh_methodid = m.m_methodid) rh_m ON sbs.sbs_sbsnumber = rh_m.rh_sbsnumber)) ORDER BY sbs_sbsname
on Fri Feb 05 09:52:56 CET 2010 .

SBS name;general method;single value [m];sample size;record valid;reference;maximum RH [m];mean RH [m];minimum RH [m];median RH [m];number of replicates;general comment;original reference
Juncus squarrosus;unknown;.3;;1;BIOPOP April 2005;;.3;;;;;Grime, J. P.(1981): A comparative study of germination characteristics in a local flora.
Juncus squarrosus;unknown;.225;;1;BIOPOP April 2005;.3;;.15;;;;
Juncus stygius;unknown;.175;;1;BIOPOP April 2005;.25;;.1;;;;
Juncus subnodulosus;unknown;.85;;1;BIOPOP April 2005;1.2;;.5;;;;
Juncus tenageia;unknown;.175;;1;BIOPOP April 2005;.3;;.05;;;;
Juncus tenuis;actual measurement (following LEDA data standards);.45;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;.51;.45;.38;.45;;(automatically preaggregated values) ;
Juncus tenuis;unknown;.275;;1;BIOPOP April 2005;.4;;.15;;;;
Juncus trifidus;estimation (following LEDA data standards);.165;;1;BIOPOP April 2005;.25;;.08;;;;Jäger, E.J. and Werner, K. (1995). Rothmaler Exkursionsflora von Deutschland. Gefäßpflanzen: Atlasband. Vol. 3. Jena, Fischer
Juncus trifidus;actual measurement (following LEDA data standards);.125;4;-2;Source data from Norwegian Institute for Nature Resaerch, NINA-Trondheim, NO (Rusch), E-Mail: Graciela.rusch@nina.no;.24;.132;.038;.125;;(automatically preaggregated values) ;
Juncus trifidus;actual measurement (following LEDA data standards);.133;4;-2;Source data from Norwegian Institute for Nature Resaerch, NINA-Trondheim, NO (Rusch), E-Mail: Graciela.rusch@nina.no;.21;.137;.072;.133;;(automatically preaggregated values) ;
Juncus trifidus s. monanthos;unknown;.165;;1;BIOPOP April 2005;.25;;.08;;;;
Juncus triglumis;unknown;.105;;1;BIOPOP April 2005;.15;;.06;;;;
Juniperus communis;estimation (following LEDA data standards);6.5;;1;BIOPOP April 2005;12;;1;;;;Jäger, E.J. and Werner, K. (1995). Rothmaler Exkursionsflora von Deutschland. Gefäßpflanzen: Atlasband. Vol. 3. Jena, Fischer
Juniperus sabina;unknown;2.1;;1;BIOPOP April 2005;4;;.2;;;;
Jurinea cyanoides;unknown;.375;;1;BIOPOP April 2005;.45;;.3;;;;
Jurinea mollis;actual measurement (following LEDA data standards);.7;25;1;BIOPOP April 2005;.7;;;;;;Luftensteiner, H. W. (1982): Untersuchungen zur Verbreitungsbiologie von Pflanzengemeinschaften an vier Standorten in Niederösterreich.
Kalmia angustifolia;unknown;.75;;1;BIOPOP April 2005;1;;.5;;;;
Kernera saxatilis;unknown;.2;;1;BIOPOP April 2005;.3;;.1;;;;
Kerria japonica;unknown;2;;1;BIOPOP April 2005;3;;1;;;;
Kickxia elatine;unknown;.24;;1;BIOPOP April 2005;.4;;.08;;;;
Kickxia spuria;unknown;.24;;1;BIOPOP April 2005;.4;;.08;;;;
Kickxia spuria;unknown;.19;;1;BIOPOP April 2005;;.19;;;;;
Knautia arvensis;estimation (following LEDA data standards);.55;;1;BIOPOP April 2005;.8;;.3;;;;Jäger, E.J. and Werner, K. (1995). Rothmaler Exkursionsflora von Deutschland. Gefäßpflanzen: Atlasband. Vol. 3. Jena, Fischer
Knautia arvensis;actual measurement (following LEDA data standards);.81;;1;BIOPOP April 2005;.98;;.64;;;;Perttula, K. (1941): Untersuchungen über die generative und vegetative Vermehrung der Blütenpflanzen in der Wald-, Hainwiesen- und Hainfelsenvegetation. Annales academiae scientiarium Fennicae. Ser.A
Knautia arvensis;actual measurement (following LEDA data standards);.92;;1;BIOPOP April 2005;1.18;;.66;;;;Perttula, K. (1941): Untersuchungen über die generative und vegetative Vermehrung der Blütenpflanzen in der Wald-, Hainwiesen- und Hainfelsenvegetation. Annales academiae scientiarium Fennicae. Ser.A
Knautia dipsacifolia;unknown;.65;;1;BIOPOP April 2005;1;;.3;;;;
Knautia drymeia;actual measurement (following LEDA data standards);1;25;1;BIOPOP April 2005;1;;;;;;Luftensteiner, H. W. (1982): Untersuchungen zur Verbreitungsbiologie von Pflanzengemeinschaften an vier Standorten in Niederösterreich.
Knautia drymeia;unknown;.525;;1;BIOPOP April 2005;.8;;.25;;;;
Kobresia myosuroides;unknown;.2;;1;BIOPOP April 2005;.3;;.1;;;;
Kobresia simpliciuscula;unknown;.125;;1;BIOPOP April 2005;.2;;.05;;;;
Koeleria glauca;estimation (following LEDA data standards);.45;;1;BIOPOP April 2005;.6;;.3;;;;Jäger, E.J. and Werner, K. (1995). Rothmaler Exkursionsflora von Deutschland. Gefäßpflanzen: Atlasband. Vol. 3. Jena, Fischer
Koeleria macrantha;actual measurement (following LEDA data standards);.28;;1;BIOPOP April 2005;;;.28;;;General: unmown;Dixon, J. M. (2000): Biological flora of the British Isles: Koeleria macrantha (Ledeb.) Schultes (K. alpigena Domin, K. cristata (L.) Pers. pro parte, K. gracilis Pers., K. albescens auct. non DC.).
Koeleria macrantha;actual measurement (following LEDA data standards);.14;;1;BIOPOP April 2005;.14;;;;;;Dixon, J. M. (2000): Biological flora of the British Isles: Koeleria macrantha (Ledeb.) Schultes (K. alpigena Domin, K. cristata (L.) Pers. pro parte, K. gracilis Pers., K. albescens auct. non DC.).
Koeleria macrantha;actual measurement (following LEDA data standards);.148;;1;BIOPOP April 2005;.148;;;;;;Dixon, J. M. (2000): Biological flora of the British Isles: Koeleria macrantha (Ledeb.) Schultes (K. alpigena Domin, K. cristata (L.) Pers. pro parte, K. gracilis Pers., K. albescens auct. non DC.).
Koeleria macrantha;actual measurement (following LEDA data standards);.082;;1;BIOPOP April 2005;;;.082;;;;Dixon, J. M. (2000): Biological flora of the British Isles: Koeleria macrantha (Ledeb.) Schultes (K. alpigena Domin, K. cristata (L.) Pers. pro parte, K. gracilis Pers., K. albescens auct. non DC.).
Koeleria macrantha;actual measurement (following LEDA data standards);.104;;1;BIOPOP April 2005;.104;;;;;;Dixon, J. M. (2000): Biological flora of the British Isles: Koeleria macrantha (Ledeb.) Schultes (K. alpigena Domin, K. cristata (L.) Pers. pro parte, K. gracilis Pers., K. albescens auct. non DC.).
Koeleria macrantha;actual measurement (following LEDA data standards);.12;;1;BIOPOP April 2005;;;.12;;;;Dixon, J. M. (2000): Biological flora of the British Isles: Koeleria macrantha (Ledeb.) Schultes (K. alpigena Domin, K. cristata (L.) Pers. pro parte, K. gracilis Pers., K. albescens auct. non DC.).
Koeleria macrantha;actual measurement (following LEDA data standards);.114;;1;BIOPOP April 2005;;;.114;;;;Dixon, J. M. (2000): Biological flora of the British Isles: Koeleria macrantha (Ledeb.) Schultes (K. alpigena Domin, K. cristata (L.) Pers. pro parte, K. gracilis Pers., K. albescens auct. non DC.).
Koeleria macrantha;actual measurement (following LEDA data standards);.205;;1;BIOPOP April 2005;.205;;;;;;Dixon, J. M. (2000): Biological flora of the British Isles: Koeleria macrantha (Ledeb.) Schultes (K. alpigena Domin, K. cristata (L.) Pers. pro parte, K. gracilis Pers., K. albescens auct. non DC.).
Koeleria macrantha;unknown;.32;;1;BIOPOP April 2005;.6;;.04;;;;Dixon, J. M. (2000): Biological flora of the British Isles: Koeleria macrantha (Ledeb.) Schultes (K. alpigena Domin, K. cristata (L.) Pers. pro parte, K. gracilis Pers., K. albescens auct. non DC.).
Koeleria macrantha;unknown;.7;;1;BIOPOP April 2005;.7;;;;;Value: large plant;Dixon, J. M. (2000): Biological flora of the British Isles: Koeleria macrantha (Ledeb.) Schultes (K. alpigena Domin, K. cristata (L.) Pers. pro parte, K. gracilis Pers., K. albescens auct. non DC.).
Koeleria macrantha;unknown;.35;;1;BIOPOP April 2005;.5;;.2;;;;
Koeleria macrantha;actual measurement (following LEDA data standards);.1145;;1;BIOPOP April 2005;.127;;.102;;;;Dixon, J. M. (2000): Biological flora of the British Isles: Koeleria macrantha (Ledeb.) Schultes (K. alpigena Domin, K. cristata (L.) Pers. pro parte, K. gracilis Pers., K. albescens auct. non DC.).
Koeleria macrantha;actual measurement (following LEDA data standards);.1945;;1;BIOPOP April 2005;.214;;.175;;;General: ungrazed;Dixon, J. M. (2000): Biological flora of the British Isles: Koeleria macrantha (Ledeb.) Schultes (K. alpigena Domin, K. cristata (L.) Pers. pro parte, K. gracilis Pers., K. albescens auct. non DC.).
Koeleria macrantha;actual measurement (following LEDA data standards);.085;;1;BIOPOP April 2005;;;.085;;;General: grazed;Dixon, J. M. (2000): Biological flora of the British Isles: Koeleria macrantha (Ledeb.) Schultes (K. alpigena Domin, K. cristata (L.) Pers. pro parte, K. gracilis Pers., K. albescens auct. non DC.).
Koeleria macrantha;actual measurement (following LEDA data standards);.113;;1;BIOPOP April 2005;.113;;;;;General: grazed;Dixon, J. M. (2000): Biological flora of the British Isles: Koeleria macrantha (Ledeb.) Schultes (K. alpigena Domin, K. cristata (L.) Pers. pro parte, K. gracilis Pers., K. albescens auct. non DC.).
Koeleria macrantha;actual measurement (following LEDA data standards);.123;;1;BIOPOP April 2005;;;.123;;;;Dixon, J. M. (2000): Biological flora of the British Isles: Koeleria macrantha (Ledeb.) Schultes (K. alpigena Domin, K. cristata (L.) Pers. pro parte, K. gracilis Pers., K. albescens auct. non DC.).
Koeleria macrantha;actual measurement (following LEDA data standards);.15;;1;BIOPOP April 2005;.15;;;;;;Dixon, J. M. (2000): Biological flora of the British Isles: Koeleria macrantha (Ledeb.) Schultes (K. alpigena Domin, K. cristata (L.) Pers. pro parte, K. gracilis Pers., K. albescens auct. non DC.).
Koeleria macrantha;actual measurement (following LEDA data standards);.17;;1;BIOPOP April 2005;;;.17;;;;Dixon, J. M. (2000): Biological flora of the British Isles: Koeleria macrantha (Ledeb.) Schultes (K. alpigena Domin, K. cristata (L.) Pers. pro parte, K. gracilis Pers., K. albescens auct. non DC.).
Koeleria pyramidata;actual measurement (following LEDA data standards);.7;25;1;BIOPOP April 2005;.7;;;;;;Luftensteiner, H. W. (1982): Untersuchungen zur Verbreitungsbiologie von Pflanzengemeinschaften an vier Standorten in Niederösterreich.
Koeleria pyramidata;unknown;.25;;1;BIOPOP April 2005;;.25;;;;;Grime, J. P.(1981): A comparative study of germination characteristics in a local flora.
Koeleria pyramidata;unknown;.65;;1;BIOPOP April 2005;1;;.3;;;;
Koeleria vallesiana;unknown;.25;;1;BIOPOP April 2005;.4;;.1;;;;
Laburnum anagyroides;unknown;8;;1;BIOPOP April 2005;8;;;;;;
Lactuca perennis;unknown;.4;;1;BIOPOP April 2005;.5;;.3;;;;
Lactuca quercina;unknown;.9;;1;BIOPOP April 2005;1.2;;.6;;;;
Lactuca saligna;unknown;.45;;1;BIOPOP April 2005;.6;;.3;;;;
Lactuca sativa;unknown;.8;;1;BIOPOP April 2005;1;;.6;;;;
Lactuca serriola;actual measurement (following LEDA data standards);.8;25;1;BIOPOP April 2005;.8;;;;;;Luftensteiner, H. W. (1982): Untersuchungen zur Verbreitungsbiologie von Pflanzengemeinschaften an vier Standorten in Niederösterreich.
Lactuca serriola;unknown;.9;;1;BIOPOP April 2005;1.2;;.6;;;;
Lactuca tatarica;unknown;.55;;1;BIOPOP April 2005;.8;;.3;;;;
Lactuca viminea;unknown;.45;;1;BIOPOP April 2005;.6;;.3;;;;
Lactuca virosa;laboratory/greenhouse/garden experiment;1.41;8;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;1.6;1.37;.8;1.41;;(automatically preaggregated values) measuring date of #1: 2004-10-08;
Lactuca virosa;unknown;1;;1;BIOPOP April 2005;1.5;;.5;;;;
Lamiastrum galeobdolon;estimation (following LEDA data standards);.5;;1;BIOPOP April 2005;.8;;.2;;;;Jäger, E.J. and Werner, K. (1995). Rothmaler Exkursionsflora von Deutschland. Gefäßpflanzen: Atlasband. Vol. 3. Jena, Fischer
Lamium album;unknown;.35;;1;BIOPOP April 2005;.5;;.2;;;;
Lamium amplexicaule;unknown;.2;;1;BIOPOP April 2005;.3;;.1;;;;
Lamium hybridum;estimation (following LEDA data standards);.19;;1;BIOPOP April 2005;.3;;.08;;;;Jäger, E.J. and Werner, K. (1995). Rothmaler Exkursionsflora von Deutschland. Gefäßpflanzen: Atlasband. Vol. 3. Jena, Fischer
Lamium maculatum;unknown;.375;;1;BIOPOP April 2005;.6;;.15;;;;
Lamium purpureum;estimation (following LEDA data standards);.3;;1;BIOPOP April 2005;.45;;.15;;;;Jäger, E.J. and Werner, K. (1995). Rothmaler Exkursionsflora von Deutschland. Gefäßpflanzen: Atlasband. Vol. 3. Jena, Fischer
Lappula deflexa;laboratory/greenhouse/garden experiment;.74;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;1.05;.73;.43;.74;;(automatically preaggregated values) ;
Lappula deflexa;unknown;.4;;1;BIOPOP April 2005;.6;;.2;;;;
Lappula squarrosa;laboratory/greenhouse/garden experiment;.4;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;.52;.41;.33;.4;;(automatically preaggregated values) ;
Lappula squarrosa;unknown;.25;;1;BIOPOP April 2005;.4;;.1;;;;
Lapsana communis;unknown;.65;;1;BIOPOP April 2005;1;;.3;;;;
Lapsana communis;unknown;.55;;1;BIOPOP April 2005;;.55;;;;;Grime, J. P.(1981): A comparative study of germination characteristics in a local flora.
Larix decidua;unknown;35;;1;BIOPOP April 2005;35;;;;;;
Larix decidua;unknown;25;;1;BIOPOP April 2005;35;;15;;;;
Laser trilobum;unknown;.75;;1;BIOPOP April 2005;1.2;;.3;;;;
Laserpitium latifolium;actual measurement (following LEDA data standards);1.1;25;1;BIOPOP April 2005;1.1;;;;;;Luftensteiner, H. W. (1982): Untersuchungen zur Verbreitungsbiologie von Pflanzengemeinschaften an vier Standorten in Niederösterreich.
Laserpitium latifolium;unknown;1.05;;1;BIOPOP April 2005;1.5;;.6;;;;
Laserpitium prutenicum;laboratory/greenhouse/garden experiment;.39;2;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;.46;.39;.31;.39;;(automatically preaggregated values) measured in the beginning of flowering time;
Laserpitium prutenicum;unknown;.65;;1;BIOPOP April 2005;1;;.3;;;;
Laserpitium siler;actual measurement (following LEDA data standards);1.1;25;1;BIOPOP April 2005;1.1;;;;;;Luftensteiner, H. W. (1982): Untersuchungen zur Verbreitungsbiologie von Pflanzengemeinschaften an vier Standorten in Niederösterreich.
Laserpitium siler;unknown;.65;;1;BIOPOP April 2005;1;;.3;;;;
Lathraea squamaria;actual measurement (following LEDA data standards);.15;25;1;BIOPOP April 2005;.15;;;;;;Luftensteiner, H. W. (1982): Untersuchungen zur Verbreitungsbiologie von Pflanzengemeinschaften an vier Standorten in Niederösterreich.
Lathraea squamaria;unknown;1.55;;1;BIOPOP April 2005;3;;.1;;;;
Lathyrus aphaca;unknown;.225;;1;BIOPOP April 2005;.3;;.15;;;;
Lathyrus heterophyllus;estimation (following LEDA data standards);1.5;;1;BIOPOP April 2005;2;;1;;;;Jäger, E.J. and Werner, K. (1995). Rothmaler Exkursionsflora von Deutschland. Gefäßpflanzen: Atlasband. Vol. 3. Jena, Fischer
Lathyrus hirsutus;unknown;.65;;1;BIOPOP April 2005;1;;.3;;;;
Lathyrus japonicus;estimation (following LEDA data standards);.35;;1;BIOPOP April 2005;.5;;.2;;;;Jäger, E.J. and Werner, K. (1995). Rothmaler Exkursionsflora von Deutschland. Gefäßpflanzen: Atlasband. Vol. 3. Jena, Fischer
Lathyrus laevigatus;unknown;.4;;1;BIOPOP April 2005;.6;;.2;;;;
Lathyrus latifolius;actual measurement (following LEDA data standards);.5;25;1;BIOPOP April 2005;.5;;;;;;Luftensteiner, H. W. (1982): Untersuchungen zur Verbreitungsbiologie von Pflanzengemeinschaften an vier Standorten in Niederösterreich.
Lathyrus latifolius;unknown;2;;1;BIOPOP April 2005;3;;1;;;;
Lathyrus montanus;actual measurement (following LEDA data standards);.29;;1;BIOPOP April 2005;.4;;.18;;;;Perttula, K. (1941): Untersuchungen über die generative und vegetative Vermehrung der Blütenpflanzen in der Wald-, Hainwiesen- und Hainfelsenvegetation. Annales academiae scientiarium Fennicae. Ser.A
Lathyrus montanus;actual measurement (following LEDA data standards);.27;;1;BIOPOP April 2005;.42;;.12;;;;Perttula, K. (1941): Untersuchungen über die generative und vegetative Vermehrung der Blütenpflanzen in der Wald-, Hainwiesen- und Hainfelsenvegetation. Annales academiae scientiarium Fennicae. Ser.A
Lathyrus montanus;actual measurement (following LEDA data standards);.285;;1;BIOPOP April 2005;.41;;.16;;;;Perttula, K. (1941): Untersuchungen über die generative und vegetative Vermehrung der Blütenpflanzen in der Wald-, Hainwiesen- und Hainfelsenvegetation. Annales academiae scientiarium Fennicae. Ser.A
Lathyrus montanus;unknown;.25;;1;BIOPOP April 2005;;.25;;;;;Grime, J. P.(1981): A comparative study of germination characteristics in a local flora.
Lathyrus montanus;unknown;.225;;1;BIOPOP April 2005;.3;;.15;;;;
Lathyrus niger;unknown;.55;;1;BIOPOP April 2005;.8;;.3;;;;
Lathyrus nissolia;laboratory/greenhouse/garden experiment;.14;1;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;.14;.14;.14;.14;;(automatically preaggregated values) ;
Lathyrus nissolia;unknown;.4;;1;BIOPOP April 2005;.5;;.3;;;;
Lathyrus odoratus;laboratory/greenhouse/garden experiment;.44;5;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;.67;.45;.2;.44;;(automatically preaggregated values) ;
Lathyrus odoratus;unknown;1.2;;1;BIOPOP April 2005;1.6;;.8;;;;
Lathyrus palustris;unknown;.65;;1;BIOPOP April 2005;1;;.3;;;;
Lathyrus pannonicus;unknown;.35;;1;BIOPOP April 2005;.55;;.15;;;;
Lathyrus pratensis;actual measurement (following LEDA data standards);.38;;1;BIOPOP April 2005;.57;;.19;;;;Perttula, K. (1941): Untersuchungen über die generative und vegetative Vermehrung der Blütenpflanzen in der Wald-, Hainwiesen- und Hainfelsenvegetation. Annales academiae scientiarium Fennicae. Ser.A
Lathyrus pratensis;unknown;.75;;1;BIOPOP April 2005;;.75;;;;;Grime, J. P.(1981): A comparative study of germination characteristics in a local flora.
Lathyrus pratensis;unknown;.65;;1;BIOPOP April 2005;1;;.3;;;;
Lathyrus pratensis;actual measurement (following LEDA data standards);.48;;1;BIOPOP April 2005;.7;;.26;;;;Perttula, K. (1941): Untersuchungen über die generative und vegetative Vermehrung der Blütenpflanzen in der Wald-, Hainwiesen- und Hainfelsenvegetation. Annales academiae scientiarium Fennicae. Ser.A
Lathyrus pratensis;actual measurement (following LEDA data standards);.425;;1;BIOPOP April 2005;.62;;.23;;;;Perttula, K. (1941): Untersuchungen über die generative und vegetative Vermehrung der Blütenpflanzen in der Wald-, Hainwiesen- und Hainfelsenvegetation. Annales academiae scientiarium Fennicae. Ser.A
Lathyrus sativus;unknown;.65;;1;BIOPOP April 2005;1;;.3;;;;
Lathyrus sylvestris;actual measurement (following LEDA data standards);1.19;;1;BIOPOP April 2005;1.73;;.65;;;;Perttula, K. (1941): Untersuchungen über die generative und vegetative Vermehrung der Blütenpflanzen in der Wald-, Hainwiesen- und Hainfelsenvegetation. Annales academiae scientiarium Fennicae. Ser.A
Lathyrus sylvestris;unknown;1.5;;1;BIOPOP April 2005;2;;1;;;;
Lathyrus tuberosus;unknown;.65;;1;BIOPOP April 2005;1;;.3;;;;
Lathyrus vernus;actual measurement (following LEDA data standards);.2;25;1;BIOPOP April 2005;.2;;;;;;Luftensteiner, H. W. (1982): Untersuchungen zur Verbreitungsbiologie von Pflanzengemeinschaften an vier Standorten in Niederösterreich.
Lathyrus vernus;unknown;.3;;1;BIOPOP April 2005;.4;;.2;;;;
Lathyrus vernus;laboratory/greenhouse/garden experiment;.23;23;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;.38;.24;.14;.23;;(automatically preaggregated values) ;
Lathyrus vernus;actual measurement (following LEDA data standards);.325;;1;BIOPOP April 2005;.45;;.2;;;;Perttula, K. (1941): Untersuchungen über die generative und vegetative Vermehrung der Blütenpflanzen in der Wald-, Hainwiesen- und Hainfelsenvegetation. Annales academiae scientiarium Fennicae. Ser.A
Lathyrus vernus;actual measurement (following LEDA data standards);.31;;1;BIOPOP April 2005;.47;;.15;;;;Perttula, K. (1941): Untersuchungen über die generative und vegetative Vermehrung der Blütenpflanzen in der Wald-, Hainwiesen- und Hainfelsenvegetation. Annales academiae scientiarium Fennicae. Ser.A
Lathyrus vernus;actual measurement (following LEDA data standards);.295;;1;BIOPOP April 2005;.41;;.18;;;;Perttula, K. (1941): Untersuchungen über die generative und vegetative Vermehrung der Blütenpflanzen in der Wald-, Hainwiesen- und Hainfelsenvegetation. Annales academiae scientiarium Fennicae. Ser.A
Lathyrus vernus;actual measurement (following LEDA data standards);.31;;1;BIOPOP April 2005;.42;;.2;;;;Perttula, K. (1941): Untersuchungen über die generative und vegetative Vermehrung der Blütenpflanzen in der Wald-, Hainwiesen- und Hainfelsenvegetation. Annales academiae scientiarium Fennicae. Ser.A
Lavandula angustifolia;unknown;.4;;1;BIOPOP April 2005;.6;;.2;;;;
Lavatera thuringiaca;unknown;.875;;1;BIOPOP April 2005;1.25;;.5;;;;
Ledum palustre;unknown;1.05;;1;BIOPOP April 2005;1.5;;.6;;;;
Leersia oryzoides;unknown;1;;1;BIOPOP April 2005;1.5;;.5;;;;
Legousia hybrida;laboratory/greenhouse/garden experiment;.04;6;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;.09;.05;.03;.04;;(automatically preaggregated values) ;
Legousia hybrida;unknown;.2;;1;BIOPOP April 2005;.25;;.15;;;;
Legousia speculum-veneris;laboratory/greenhouse/garden experiment;.21;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;.32;.21;.17;.21;;(automatically preaggregated values) ;
Legousia speculum-veneris;unknown;.2;;1;BIOPOP April 2005;.3;;.1;;;;
Lembotropis nigricans;unknown;.75;;1;BIOPOP April 2005;1.2;;.3;;;;
Lens culinaris;unknown;.225;;1;BIOPOP April 2005;.3;;.15;;;;
Leontodon autumnalis;actual measurement (following LEDA data standards);.11;5;-2;Source data from Norwegian Institute for Nature Resaerch, NINA-Trondheim, NO (Rusch), E-Mail: Graciela.rusch@nina.no;.155;.116;.077;.11;;(automatically preaggregated values) ;
Leontodon autumnalis;actual measurement (following LEDA data standards);.153;4;-2;Source data from Norwegian Institute for Nature Resaerch, NINA-Trondheim, NO (Rusch), E-Mail: Graciela.rusch@nina.no;.16;.14;.093;.153;;(automatically preaggregated values) ;
Leontodon autumnalis;unknown;.3;;1;BIOPOP April 2005;;.3;;;;;Grime, J. P.(1981): A comparative study of germination characteristics in a local flora.
Leontodon autumnalis;unknown;.3;;1;BIOPOP April 2005;.45;;.15;;;;
Leontodon hispidus;actual measurement (following LEDA data standards);.45;25;1;BIOPOP April 2005;.45;;;;;;Luftensteiner, H. W. (1982): Untersuchungen zur Verbreitungsbiologie von Pflanzengemeinschaften an vier Standorten in Niederösterreich.
Leontodon hispidus;unknown;.35;;1;BIOPOP April 2005;.6;;.1;;;;
Leontodon hispidus;unknown;.35;;1;BIOPOP April 2005;;.35;;;;;Grime, J. P.(1981): A comparative study of germination characteristics in a local flora.
Leontodon incanus;actual measurement (following LEDA data standards);.45;25;1;BIOPOP April 2005;.45;;;;;;Luftensteiner, H. W. (1982): Untersuchungen zur Verbreitungsbiologie von Pflanzengemeinschaften an vier Standorten in Niederösterreich.
Leontodon incanus;unknown;.3;;1;BIOPOP April 2005;.45;;.15;;;;
Leontodon montanus;unknown;.065;;1;BIOPOP April 2005;.1;;.03;;;;
Leontopodium alpinum;unknown;.125;;1;BIOPOP April 2005;.2;;.05;;;;
Leonurus cardiaca;unknown;.65;;1;BIOPOP April 2005;1;;.3;;;;
