The following table was created as response to the SQL query
SELECT sbs_sbsname "SBS name", sbs_sbsnumber "SBS number", m_methodname "general method", dia_name "diaspore type", tv_singlevalue "single value [m/s]", tv_n "sample size", tvlv_name "TV specific method", sclv_name "measured with structures", tv_valid "valid", ref_refname "reference", tv_mean "mean TV [m/s]", tv_maximum "maximum TV [m/s]", tv_minimum "minimum TV [m/s]", tv_median "median TV [m/s]", tv_replicates "number of replicates", tv_comment "general comment", or_origrefname "original reference" FROM (SELECT case when tv_median is not null then tv_median when tv_mean is not null then tv_mean when tv_minimum is not null and tv_maximum is not null then (tv_minimum + tv_maximum) / 2 when tv_minimum is not null then tv_minimum when tv_maximum is not null then tv_maximum else null end AS tv_singlevalue, sbs_sbsnumber, sbs_sbsname, m_methodname, dia_name, tv_median, tv_mean, tv_minimum, tv_maximum, tv_n, tvlv_name, sclv_name, tv_valid, ref_refname, tv_replicates, tv_comment, or_origrefname, tv_sbsnumber FROM (SELECT sbs.sbs_sbsnumber, sbs.sbs_sbsname, m_tv.m_methodname, m_tv.dia_name, m_tv.tv_median, m_tv.tv_mean, m_tv.tv_minimum, m_tv.tv_maximum, m_tv.tv_n, m_tv.tvlv_name, m_tv.sclv_name, m_tv.tv_valid, m_tv.ref_refname, m_tv.tv_replicates, m_tv.tv_comment, m_tv.or_origrefname, m_tv.tv_sbsnumber FROM (SELECT speciesno AS sbs_sbsnumber, fullname AS sbs_sbsname FROM (SELECT fullname, speciesno, familyname, isinledalist from (select fullname, speciesno, family as familyid, isinledalist from taxon where specieslist = 60028) natural join taxonomicfamily)) sbs JOIN (SELECT tv_dialv.tv_sbsnumber, m.m_methodname, tv_dialv.dia_name, tv_dialv.tv_median, tv_dialv.tv_mean, tv_dialv.tv_minimum, tv_dialv.tv_maximum, tv_dialv.tv_n, tv_dialv.tvlv_name, tv_dialv.sclv_name, tv_dialv.tv_valid, tv_dialv.ref_refname, tv_dialv.tv_replicates, tv_dialv.tv_comment, tv_dialv.or_origrefname FROM (SELECT methodid AS m_methodid, methodname AS m_methodname FROM (select * from method_lv)) m JOIN (SELECT tv_tvlv.tv_sbsnumber, tv_tvlv.tv_methodid, dialv.dia_name, tv_tvlv.tv_median, tv_tvlv.tv_mean, tv_tvlv.tv_minimum, tv_tvlv.tv_maximum, tv_tvlv.tv_n, tv_tvlv.tvlv_name, tv_tvlv.sclv_name, tv_tvlv.tv_valid, tv_tvlv.ref_refname, tv_tvlv.tv_replicates, tv_tvlv.tv_comment, tv_tvlv.or_origrefname FROM (SELECT tv_sclv.tv_sbsnumber, tv_sclv.tv_methodid, tv_sclv.tv_diasporeid, tv_sclv.tv_median, tv_sclv.tv_mean, tv_sclv.tv_minimum, tv_sclv.tv_maximum, tv_sclv.tv_n, tvlv.tvlv_name, tv_sclv.sclv_name, tv_sclv.tv_valid, tv_sclv.ref_refname, tv_sclv.tv_replicates, tv_sclv.tv_comment, tv_sclv.or_origrefname FROM (SELECT r_tv.tv_sbsnumber, r_tv.tv_methodid, r_tv.tv_diasporeid, r_tv.tv_median, r_tv.tv_mean, r_tv.tv_minimum, r_tv.tv_maximum, r_tv.tv_n, r_tv.tv_specificmethodid, sclv.sclv_name, r_tv.tv_valid, r_tv.ref_refname, r_tv.tv_replicates, r_tv.tv_comment, r_tv.or_origrefname FROM (SELECT tv_orf.tv_sbsnumber, tv_orf.tv_methodid, tv_orf.tv_diasporeid, tv_orf.tv_median, tv_orf.tv_mean, tv_orf.tv_minimum, tv_orf.tv_maximum, tv_orf.tv_n, tv_orf.tv_specificmethodid, tv_orf.tv_structureid, tv_orf.tv_valid, r.ref_refname, tv_orf.tv_replicates, tv_orf.tv_comment, tv_orf.or_origrefname FROM (SELECT referenceid AS ref_referenceid, refname AS ref_refname FROM (select referenceid, refname, reftypeid from reference)) r LEFT JOIN (SELECT tv.tv_sbsnumber, tv.tv_methodid, tv.tv_diasporeid, tv.tv_median, tv.tv_mean, tv.tv_minimum, tv.tv_maximum, tv.tv_n, tv.tv_specificmethodid, tv.tv_structureid, tv.tv_valid, tv.tv_referenceid, tv.tv_replicates, tv.tv_comment, orf.or_origrefname FROM (SELECT sbsnumber AS tv_sbsnumber, methodid AS tv_methodid, diasporemorphologyid AS tv_diasporeid, median AS tv_median, mean AS tv_mean, minimum AS tv_minimum, maximum AS tv_maximum, n AS tv_n, velocitymethodid AS tv_specificmethodid, structureid AS tv_structureid, valid AS tv_valid, referenceid AS tv_referenceid, replicates AS tv_replicates, p_comment AS tv_comment, origreferenceid AS tv_origreferenceid FROM (SELECT sbsnumber, taxonid, mean, median, minimum, maximum, stderror, stddeviation, n, replicates, created_when, updated_when, collectiondate, p_comment, methodid, referenceid, origreferenceid, habitattypeid, georefid, valid, validsince, validuntil, ledaid, batchid, velocitymethodid, structureid, diasporemorphologyid, terminalvelocityid FROM terminalvelocity natural join taxontosbsassignment WHERE valid IN (-2, 1, -1, 0, 2, -8, -4, -3, 2, -8))) tv FULL JOIN (SELECT origreferenceid AS or_origrefid, origrefname AS or_origrefname FROM (select referenceid as origreferenceid, refname as origrefname, reftypeid as origreftypeid from reference)) orf ON tv.tv_origreferenceid = orf.or_origrefid) tv_orf ON r.ref_referenceid = tv_orf.tv_referenceid) r_tv LEFT JOIN (SELECT structureid AS sclv_id, structurename AS sclv_name FROM (SELECT structureid, structurename from structure_lv)) sclv ON r_tv.tv_structureid = sclv.sclv_id) tv_sclv LEFT JOIN (SELECT velocitymethodid AS tvlv_id, velocitymethodname AS tvlv_name FROM (SELECT velocitymethodid, velocitymethodname from velocitymethod_lv)) tvlv ON tv_sclv.tv_specificmethodid = tvlv.tvlv_id) tv_tvlv LEFT JOIN (SELECT diasporemorphologyid AS dia_id, diasporemorphologyname AS dia_name FROM (select diasporemorphologyid, diasporemorphologycode, diasporemorphologyname from diasporemorphology_lv)) dialv ON tv_tvlv.tv_diasporeid = dialv.dia_id) tv_dialv ON m.m_methodid = tv_dialv.tv_methodid) m_tv ON sbs.sbs_sbsnumber = m_tv.tv_sbsnumber)) ORDER BY sbs_sbsname
on Fri Mar 14 16:39:55 CET 2008 .

SBS name;SBS number;general method;diaspore type;single value [m/s];sample size;TV specific method;measured with structures;valid;reference;mean TV [m/s];maximum TV [m/s];minimum TV [m/s];median TV [m/s];number of replicates;general comment;original reference
Hypericum humifusum;23252;actual measurement (following LEDA data standards);germinule;1.48;1;actual fall rate in still air;no ;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;1.48;;;;;;
Hypericum humifusum;23252;actual measurement (following LEDA data standards);germinule;1.53;1;actual fall rate in still air;no ;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;1.53;;;;;;
Hypericum humifusum;23252;actual measurement (following LEDA data standards);germinule;1.49;1;actual fall rate in still air;no ;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;1.49;;;;;;
Hypericum humifusum;23252;actual measurement (following LEDA data standards);germinule;1.53;1;actual fall rate in still air;no ;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;1.53;;;;;;
Hypericum humifusum;23252;actual measurement (following LEDA data standards);germinule;1.49;1;actual fall rate in still air;no ;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;1.49;;;;;;
Hypericum humifusum;23252;actual measurement (following LEDA data standards);germinule;1.53;10;actual fall rate in still air;no ;-2;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;1.53;1.63;1.48;1.53;;Preaggregated data obtained from single record.;
Hypericum maculatum;23226;actual measurement (following LEDA data standards);germinule;1.58;1;actual fall rate in still air;no ;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;1.58;;;;;;
Hypericum maculatum;23226;actual measurement (following LEDA data standards);germinule;1.94;1;actual fall rate in still air;no ;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;1.94;;;;;;
Hypericum maculatum;23226;actual measurement (following LEDA data standards);germinule;1.76;1;actual fall rate in still air;no ;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;1.76;;;;;;
Hypericum maculatum;23226;actual measurement (following LEDA data standards);germinule;1.69;1;actual fall rate in still air;no ;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;1.69;;;;;;
Hypericum maculatum;23226;actual measurement (following LEDA data standards);germinule;1.56;1;actual fall rate in still air;no ;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;1.56;;;;;;
Hypericum maculatum;23226;actual measurement (following LEDA data standards);germinule;1.72;10;actual fall rate in still air;no ;-2;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;1.71;1.94;1.53;1.72;;Preaggregated data obtained from single record.;
Hypericum maculatum;23226;actual measurement (following LEDA data standards);germinule;1.77;1;actual fall rate in still air;no ;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;1.77;;;;;;
Hypericum maculatum;23226;actual measurement (following LEDA data standards);germinule;1.53;1;actual fall rate in still air;no ;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;1.53;;;;;;
Hypericum maculatum;23226;actual measurement (following LEDA data standards);germinule;1.89;1;actual fall rate in still air;no ;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;1.89;;;;;;
Hypericum maculatum;23226;actual measurement (following LEDA data standards);germinule;1.75;1;actual fall rate in still air;no ;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;1.75;;;;;;
Hypericum maculatum;23226;actual measurement (following LEDA data standards);germinule;1.6;1;actual fall rate in still air;no ;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;1.6;;;;;;
Hypericum montanum;23241;actual measurement;one-seeded generative dispersule;1.63;10;actual fall rate in still air;no ;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;1.63;2.02;1.15;;;;
Hypericum montanum;23241;actual measurement;one-seeded generative dispersule;1.6;10;actual fall rate in still air;no ;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;1.6;1.76;1.49;;;;
Hypericum perforatum;23212;actual measurement (following LEDA data standards);germinule;1.76;10;actual fall rate in still air;no ;-2;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;1.75;1.88;1.6;1.76;;Preaggregated data obtained from single record.;
Hypericum perforatum;23212;actual measurement (following LEDA data standards);germinule;1.67;1;actual fall rate in still air;no ;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;1.67;;;;;;
Hypericum perforatum;23212;actual measurement (following LEDA data standards);germinule;1.85;1;actual fall rate in still air;no ;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;1.85;;;;;;
Hypericum perforatum;23212;unknown;generative dispersule;1.34;1;unknown;yes ;1;Source data from University of Regensburg, Chair of Botany, DE (Tackenberg) (oliver.tackenberg@biologie.uni-regensburg.de);1.34;;;;1;Tackenberg (2001);
Hypericum perforatum;23212;actual measurement (following LEDA data standards);germinule;1.62;1;actual fall rate in still air;no ;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;1.62;;;;;;
Hypericum perforatum;23212;actual measurement (following LEDA data standards);germinule;1.8;1;actual fall rate in still air;no ;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;1.8;;;;;;
Hypericum perforatum;23212;actual measurement (following LEDA data standards);germinule;1.76;1;actual fall rate in still air;no ;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;1.76;;;;;;
Hypericum perforatum;23212;actual measurement (following LEDA data standards);germinule;1.85;1;actual fall rate in still air;no ;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;1.85;;;;;;
Hypericum perforatum;23212;actual measurement (following LEDA data standards);germinule;1.6;1;actual fall rate in still air;no ;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;1.6;;;;;;
Hypericum perforatum;23212;actual measurement (following LEDA data standards);germinule;1.88;1;actual fall rate in still air;no ;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;1.88;;;;;;
Hypericum perforatum;23212;actual measurement (following LEDA data standards);germinule;1.76;1;actual fall rate in still air;no ;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;1.76;;;;;;
Hypericum perforatum;23212;actual measurement (following LEDA data standards);germinule;1.75;1;actual fall rate in still air;no ;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;1.75;;;;;;
Hypericum perforatum;23212;actual measurement;one-seeded generative dispersule;1.79;5;actual fall rate in still air;no ;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;1.79;2.08;1.56;;;;
Hypericum perforatum;23212;actual measurement;one-seeded generative dispersule;1.54;10;actual fall rate in still air;no ;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;1.54;1.7;1.26;;;;
Hypericum perforatum;23212;actual measurement;one-seeded generative dispersule;1.48;10;actual fall rate in still air;no ;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;1.48;1.92;1.25;;;;
Hypericum perforatum;23212;actual measurement (following LEDA data standards);one-seeded generative dispersule;1.92;1;actual fall rate in still air;yes ;-4;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;1.92;;;;;;
Hypericum perforatum;23212;actual measurement (following LEDA data standards);one-seeded generative dispersule;2.17;1;actual fall rate in still air;yes ;-4;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;2.17;;;;;;
Hypericum perforatum;23212;actual measurement (following LEDA data standards);one-seeded generative dispersule;1.91;1;actual fall rate in still air;yes ;-4;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;1.91;;;;;;
Hypericum perforatum;23212;actual measurement (following LEDA data standards);one-seeded generative dispersule;1.64;1;actual fall rate in still air;yes ;-4;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;1.64;;;;;;
Hypericum perforatum;23212;actual measurement (following LEDA data standards);one-seeded generative dispersule;2.25;1;actual fall rate in still air;yes ;-4;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;2.25;;;;;;
Hypericum perforatum;23212;actual measurement (following LEDA data standards);one-seeded generative dispersule;1.89;1;actual fall rate in still air;yes ;-4;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;1.89;;;;;;
Hypericum perforatum;23212;actual measurement (following LEDA data standards);one-seeded generative dispersule;2.05;1;actual fall rate in still air;yes ;-4;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;2.05;;;;;;
Hypericum perforatum;23212;actual measurement (following LEDA data standards);one-seeded generative dispersule;1.92;10;actual fall rate in still air;yes ;-2;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;1.93;2.25;1.64;1.92;;Preaggregated data obtained from single record.;
Hypericum perforatum;23212;actual measurement (following LEDA data standards);one-seeded generative dispersule;1.68;1;actual fall rate in still air;yes ;-4;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;1.68;;;;;;
Hypericum perforatum;23212;actual measurement (following LEDA data standards);one-seeded generative dispersule;1.95;1;actual fall rate in still air;yes ;-4;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;1.95;;;;;;
Hypericum perforatum;23212;actual measurement (following LEDA data standards);one-seeded generative dispersule;1.84;1;actual fall rate in still air;yes ;-4;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;1.84;;;;;;
Hypericum pulchrum;23219;actual measurement;one-seeded generative dispersule;1.75;10;actual fall rate in still air;no ;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;1.75;1.94;1.61;;;;
Hypochaeris glabra;7007;actual measurement (following LEDA data standards);one-seeded generative dispersule;.89;1;actual fall rate in still air;yes ;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.89;;;;;;
Hypochaeris glabra;7007;actual measurement (following LEDA data standards);one-seeded generative dispersule;.84;10;actual fall rate in still air;yes ;-2;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.86;.93;.76;.84;;Preaggregated data obtained from single record.;
Hypochaeris glabra;7007;actual measurement (following LEDA data standards);one-seeded generative dispersule;.84;1;actual fall rate in still air;yes ;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.84;;;;;;
Hypochaeris glabra;7007;actual measurement (following LEDA data standards);one-seeded generative dispersule;.86;1;actual fall rate in still air;yes ;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.86;;;;;;
Hypochaeris glabra;7007;actual measurement (following LEDA data standards);one-seeded generative dispersule;.84;1;actual fall rate in still air;yes ;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.84;;;;;;
Hypochaeris glabra;7007;actual measurement (following LEDA data standards);one-seeded generative dispersule;.93;1;actual fall rate in still air;yes ;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.93;;;;;;
Hypochaeris glabra;7007;actual measurement (following LEDA data standards);one-seeded generative dispersule;.84;1;actual fall rate in still air;yes ;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.84;;;;;;
Hypochaeris glabra;7007;actual measurement (following LEDA data standards);one-seeded generative dispersule;.92;1;actual fall rate in still air;yes ;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.92;;;;;;
Hypochaeris glabra;7007;actual measurement (following LEDA data standards);one-seeded generative dispersule;.84;1;actual fall rate in still air;yes ;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.84;;;;;;
Hypochaeris glabra;7007;actual measurement (following LEDA data standards);one-seeded generative dispersule;.84;1;actual fall rate in still air;yes ;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.84;;;;;;
Hypochaeris glabra;7007;actual measurement (following LEDA data standards);one-seeded generative dispersule;.76;1;actual fall rate in still air;yes ;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.76;;;;;;
Hypochaeris glabra;7007;actual measurement;one-seeded generative dispersule;.54;10;actual fall rate in still air;yes ;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;.54;.65;.44;;;;
Hypochaeris glabra;7007;actual measurement;one-seeded generative dispersule;.5;10;actual fall rate in still air;yes ;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;.5;.59;.44;;;;
Hypochaeris maculata;8386;unknown;generative dispersule;.83;1;unknown;yes ;1;Source data from University of Regensburg, Chair of Botany, DE (Tackenberg) (oliver.tackenberg@biologie.uni-regensburg.de);.83;;;;1;Luftensteiner (1982);
Hypochaeris maculata;8386;unknown;generative dispersule;.29;1;unknown;yes ;1;Source data from University of Regensburg, Chair of Botany, DE (Tackenberg) (oliver.tackenberg@biologie.uni-regensburg.de);.29;;;;1;Tackenberg (2001);
Hypochaeris maculata;8386;unknown;generative dispersule;.59;1;unknown;yes ;1;Source data from University of Regensburg, Chair of Botany, DE (Tackenberg) (oliver.tackenberg@biologie.uni-regensburg.de);.59;;;;1;Tackenberg (2001);
Hypochaeris uniflora;8453;unknown;generative dispersule;.62;1;unknown;yes ;1;Source data from University of Regensburg, Chair of Botany, DE (Tackenberg) (oliver.tackenberg@biologie.uni-regensburg.de);.62;;;;1;Müller-Schneider (1986);
Hypochoeris radicata;6499;actual measurement (following LEDA data standards);one-seeded generative dispersule;.32;10;actual fall rate in still air;yes ;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;.36;.57;.27;.32;;Preaggregated data obtained from single record.seeds collected by Ute Schadek (Oldenburg);
Hypochoeris radicata;6499;actual measurement (following LEDA data standards);one-seeded generative dispersule;.5;1;actual fall rate in still air;yes ;-4;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;.5;;;;;seeds collected by Ute Schadek (Oldenburg);
Hypochoeris radicata;6499;actual measurement (following LEDA data standards);one-seeded generative dispersule;.43;1;actual fall rate in still air;yes ;-4;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;.43;;;;;seeds collected by Ute Schadek (Oldenburg);
Hypochoeris radicata;6499;actual measurement (following LEDA data standards);one-seeded generative dispersule;.27;1;actual fall rate in still air;yes ;-4;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;.27;;;;;seeds collected by Ute Schadek (Oldenburg);
Hypochoeris radicata;6499;actual measurement (following LEDA data standards);one-seeded generative dispersule;.29;1;actual fall rate in still air;yes ;-4;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;.29;;;;;seeds collected by Ute Schadek (Oldenburg);
Hypochoeris radicata;6499;actual measurement (following LEDA data standards);one-seeded generative dispersule;.49;1;actual fall rate in still air;yes ;-4;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;.49;;;;;seeds collected by Ute Schadek (Oldenburg);
Hypochoeris radicata;6499;actual measurement (following LEDA data standards);one-seeded generative dispersule;.39;1;actual fall rate in still air;yes ;-4;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;.39;;;;;seeds collected by Ute Schadek (Oldenburg);
Hypochoeris radicata;6499;actual measurement (following LEDA data standards);one-seeded generative dispersule;.57;1;actual fall rate in still air;yes ;-4;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;.57;;;;;seeds collected by Ute Schadek (Oldenburg);
Hypochoeris radicata;6499;actual measurement (following LEDA data standards);one-seeded generative dispersule;.5;1;actual fall rate in still air;yes ;-4;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;.5;;;;;seeds collected by Ute Schadek (Oldenburg);
Hypochoeris radicata;6499;actual measurement (following LEDA data standards);one-seeded generative dispersule;.45;1;actual fall rate in still air;yes ;-4;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;.45;;;;;seeds collected by Ute Schadek (Oldenburg);
Hypochoeris radicata;6499;actual measurement (following LEDA data standards);one-seeded generative dispersule;.43;1;actual fall rate in still air;yes ;-4;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;.43;;;;;seeds collected by Ute Schadek (Oldenburg);
Hypochoeris radicata;6499;actual measurement (following LEDA data standards);one-seeded generative dispersule;.41;1;actual fall rate in still air;yes ;-4;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;.41;;;;;seeds collected by Ute Schadek (Oldenburg);
Hypochoeris radicata;6499;actual measurement;one-seeded generative dispersule;.82;10;actual fall rate in still air;yes ;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;.82;1.18;.63;;;;
Hypochoeris radicata;6499;actual measurement (following LEDA data standards);one-seeded generative dispersule;.38;1;actual fall rate in still air;yes ;-4;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;.38;;;;;seeds collected by Ute Schadek (Oldenburg);
Hypochoeris radicata;6499;actual measurement (following LEDA data standards);one-seeded generative dispersule;.31;1;actual fall rate in still air;yes ;-4;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;.31;;;;;seeds collected by Ute Schadek (Oldenburg);
Hypochoeris radicata;6499;actual measurement (following LEDA data standards);one-seeded generative dispersule;.28;1;actual fall rate in still air;yes ;-4;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;.28;;;;;seeds collected by Ute Schadek (Oldenburg);
Hypochoeris radicata;6499;actual measurement (following LEDA data standards);one-seeded generative dispersule;.33;1;actual fall rate in still air;yes ;-4;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;.33;;;;;seeds collected by Ute Schadek (Oldenburg);
Hypochoeris radicata;6499;actual measurement (following LEDA data standards);one-seeded generative dispersule;.3;1;actual fall rate in still air;yes ;-4;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;.3;;;;;seeds collected by Ute Schadek (Oldenburg);
Hypochoeris radicata;6499;actual measurement (following LEDA data standards);one-seeded generative dispersule;.46;1;actual fall rate in still air;yes ;-4;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;.46;;;;;seeds collected by Ute Schadek (Oldenburg);
